driverId,week,hours-logged,miles-logged
247,19,54,2400
860,12,66,4000
858,19,68,0
733,22,50,2500
350,40,56,100
296,27,69,3100
479,22,72,2500
511,9,66,1800
833,25,52,1400
93,35,67,3600
574,41,62,800
655,35,50,2500
718,17,62,3200
55,15,76,2500
37,12,74,4000
899,23,58,3400
985,9,55,400
756,6,53,1400
640,22,60,4000
686,33,59,3400
277,21,66,900
897,44,68,1800
69,24,56,1700
379,31,55,0
835,48,76,1400
568,48,76,3800
230,43,53,2300
477,12,78,1300
395,19,80,1300
584,44,64,3700
884,47,80,2200
30,27,72,3300
785,50,61,900
650,13,64,2900
93,27,79,3200
167,5,73,2100
757,46,64,2100
750,45,73,3600
748,41,73,100
246,43,51,1500
779,10,71,3900
845,46,57,2500
258,35,72,3400
228,34,70,3600
464,16,69,2700
134,9,70,1800
557,9,57,3100
817,5,70,3900
911,4,54,2200
605,15,74,3200
292,27,78,4000
929,6,62,1600
582,41,76,1700
460,20,70,1700
449,2,77,300
635,31,72,2700
636,3,80,1200
800,33,68,900
505,28,73,3400
805,13,62,200
485,13,68,3400
518,4,62,2000
603,36,80,0
282,12,77,300
767,13,79,2300
172,49,65,300
911,37,77,2200
142,42,77,1100
144,30,70,3300
564,2,59,3800
275,41,69,500
67,51,52,100
65,12,59,2200
608,8,51,300
882,27,76,600
196,51,76,1800
48,35,78,1300
145,50,59,2300
508,1,76,700
63,2,71,1800
428,9,61,2500
440,35,70,700
954,44,61,700
1001,28,52,1100
980,14,74,1800
262,24,59,2800
131,51,72,2700
168,46,80,0
578,37,70,3700
649,16,67,1800
927,12,65,3500
441,32,52,2200
440,14,77,1000
813,4,60,1900
365,22,77,1700
696,27,72,2700
638,37,64,0
290,11,53,0
839,49,71,200
48,11,54,3700
193,25,57,3900
722,25,66,3700
703,4,53,2600
393,37,80,1700
123,33,77,4000
845,40,54,3100
712,40,58,3900
65,46,51,600
164,29,58,200
729,26,52,2000
154,51,74,2800
153,1,61,1300
76,33,53,1300
335,20,65,1900
998,45,78,2300
750,31,64,1000
828,8,73,2200
826,21,55,1400
120,14,72,3300
365,23,52,300
329,36,63,1600
985,13,69,1000
933,30,71,1200
954,41,59,3800
579,1,62,1300
884,13,57,3300
944,45,72,4000
511,29,54,1500
538,2,57,1100
797,43,73,1600
417,15,55,1800
308,4,55,700
53,38,71,3000
961,10,70,3200
995,36,55,4000
240,18,70,2800
76,34,50,3800
27,15,73,3800
421,48,63,3900
480,13,68,2900
122,41,55,900
866,19,62,1200
337,9,79,2500
593,27,64,3900
260,32,54,1900
736,31,67,100
663,33,74,3700
862,8,53,3700
798,21,70,1800
642,38,53,2700
723,16,57,3600
73,5,59,3200
801,24,68,3700
664,46,67,2800
846,44,62,2800
128,45,67,1400
18,50,80,2900
73,11,50,3300
955,23,57,1500
289,23,58,2600
397,4,64,3100
614,23,72,1300
418,19,52,2600
639,37,69,2600
292,39,78,3700
78,39,58,3700
422,23,57,1400
957,37,59,3500
72,46,65,3300
909,35,69,2300
302,14,78,2000
395,16,53,3300
462,49,52,1300
879,36,64,3400
504,41,73,1700
638,8,57,1300
137,51,72,1500
832,24,61,1600
26,31,72,1900
701,47,52,2100
494,11,57,3800
583,40,68,1900
911,15,58,3000
928,33,68,200
420,17,61,1900
279,17,64,3700
644,28,64,3400
736,14,56,1100
932,16,78,1100
543,52,61,900
380,22,77,2600
476,34,66,100
698,19,51,1300
424,15,79,900
406,25,55,2300
503,40,61,900
282,32,61,1900
928,22,71,500
249,12,52,2700
802,51,69,2600
350,3,52,2200
856,31,80,900
135,15,72,500
819,39,62,3000
994,22,66,2400
877,44,73,3700
676,7,74,2500
893,5,60,900
592,27,59,2100
725,40,79,2100
350,19,72,2200
184,19,67,3100
570,21,67,2000
770,46,80,2800
556,30,80,1600
262,43,80,2900
623,22,72,900
653,52,79,800
926,21,55,4000
870,30,63,2100
856,25,79,3900
786,47,62,4000
274,49,66,1400
994,52,79,2600
561,8,65,3700
304,9,50,100
859,48,64,3600
557,8,68,1600
829,28,52,3400
564,20,60,2800
773,15,77,2400
96,12,54,400
453,4,73,2500
515,38,62,3300
663,10,68,2600
368,19,75,3500
442,50,75,300
79,50,71,500
816,6,56,1500
771,16,71,300
756,20,79,3600
773,27,80,2000
73,41,64,1300
628,27,55,3400
228,3,66,700
603,22,50,3200
730,23,61,2400
439,4,57,3700
24,37,58,2200
352,32,79,2000
514,42,69,2400
395,25,69,1700
862,2,62,500
288,5,72,3700
350,8,77,0
363,21,57,3100
128,31,60,900
962,33,59,3600
467,25,58,1100
346,23,54,4000
296,41,59,2500
616,38,80,2600
681,1,54,100
386,30,61,1500
336,31,74,2800
506,27,77,1800
789,22,51,1600
532,38,56,600
677,36,63,3100
405,18,64,1300
181,45,76,3200
138,25,75,4000
259,47,79,3900
503,31,58,2500
237,15,75,3700
193,32,50,3100
601,47,76,1600
366,21,55,4000
496,12,66,500
415,41,56,3200
421,20,61,2000
554,38,59,3600
718,9,69,3000
213,24,68,100
625,34,76,3500
302,29,76,3200
280,8,64,900
409,41,80,0
381,14,57,1600
257,34,54,2500
429,35,53,1700
628,2,52,1900
366,32,73,3500
896,20,78,3900
76,24,61,3300
612,35,65,3600
494,27,79,3500
474,23,72,3900
157,25,63,3700
933,47,75,2900
307,17,54,3400
389,37,52,300
286,31,53,400
253,24,72,3400
449,14,73,3000
46,48,50,700
949,49,72,400
177,29,73,1600
192,5,79,2900
550,24,63,2200
845,33,80,2000
569,13,58,1100
920,42,65,3400
675,21,76,3000
594,34,71,2600
264,43,57,2000
634,16,77,3500
302,26,69,2100
496,52,64,2200
542,17,74,1400
643,18,65,3800
394,2,53,2300
456,1,51,1100
488,11,71,1700
313,37,69,3100
348,35,50,200
266,49,71,2500
767,18,69,100
230,45,62,3200
104,45,72,2600
116,16,60,2600
612,1,59,2700
792,3,78,2900
86,6,71,3200
1006,12,61,2500
235,29,67,1000
737,34,67,4000
717,37,62,100
488,24,63,3800
897,27,66,1600
817,27,54,3400
589,24,50,400
724,18,75,3500
720,10,55,2500
168,10,67,2600
86,14,77,1500
989,48,55,3000
286,24,54,1100
171,35,79,200
237,52,78,800
965,37,62,1700
814,35,61,2500
992,52,61,3000
878,36,80,1800
45,48,53,100
667,41,73,500
252,39,77,1900
811,47,51,1900
685,30,80,2800
499,31,51,1000
777,17,72,2000
746,49,69,1700
877,52,50,500
743,45,74,2200
785,40,61,3800
67,38,70,900
368,39,71,1500
903,21,70,1800
685,14,66,3600
196,15,51,800
374,17,75,3900
663,17,59,1900
85,35,52,600
617,21,59,500
945,14,69,3600
701,32,62,500
72,25,61,3000
720,28,50,700
1001,28,76,1700
487,4,63,1000
651,50,67,2400
169,37,77,3500
335,28,60,500
863,30,56,1700
538,38,56,500
844,4,68,3500
877,51,63,1100
418,41,69,3200
935,38,68,2600
67,18,69,3900
656,12,74,2300
949,21,53,1100
855,28,52,700
359,50,76,1800
687,19,55,500
80,7,80,2000
475,42,56,3700
472,34,68,2200
629,12,60,2700
27,23,79,2600
888,46,68,2300
887,48,50,3800
1005,44,67,1000
413,39,71,1000
841,46,59,3200
770,23,77,900
351,43,63,100
108,9,75,2300
599,31,68,2900
618,45,63,3900
957,51,80,3800
974,33,58,1100
531,37,74,800
992,33,57,300
368,5,73,1100
860,7,78,3100
505,23,61,100
987,44,65,1300
350,23,66,1100
872,50,66,1600
796,41,78,1500
265,25,50,600
537,18,71,1100
795,14,59,1600
647,22,57,1700
595,50,60,2200
819,11,70,2900
416,24,73,3300
969,13,63,500
115,37,74,400
957,34,60,3900
885,11,64,3700
220,48,75,700
519,33,55,2800
259,30,75,3800
200,36,65,3400
281,31,51,1400
82,44,64,800
93,31,59,1300
444,37,62,2200
185,14,76,3600
441,33,50,200
869,49,70,2300
553,52,75,600
71,25,70,300
980,50,74,3000
392,17,54,1100
191,2,64,2300
855,13,80,1700
715,16,70,2800
355,27,52,100
267,35,62,3300
344,8,53,600
674,44,52,1800
95,7,76,3000
686,5,64,2000
677,37,62,300
725,39,70,3400
556,45,70,1200
764,40,59,3100
200,46,54,2200
940,10,62,2900
284,51,50,2200
418,27,80,900
255,24,75,500
831,26,67,1900
549,3,72,1200
798,20,51,1500
655,6,73,1900
620,39,72,1900
561,32,79,1700
538,45,80,3700
64,14,53,1000
415,9,76,2000
309,15,75,700
909,10,72,2800
27,25,80,2700
767,37,54,2900
786,11,79,3500
823,17,76,1500
152,48,64,1500
29,31,61,3600
700,21,60,1100
738,45,75,1500
809,23,80,0
412,43,68,2500
196,26,69,2500
825,42,66,2800
892,9,68,200
687,21,72,2600
1004,8,67,2500
56,27,78,3800
577,27,73,1200
613,14,68,2600
111,41,51,700
356,19,70,2300
726,17,51,2900
160,22,73,1500
268,41,63,2900
260,45,50,700
985,16,79,3500
235,8,76,500
24,32,73,200
449,48,70,2500
590,37,77,1400
281,29,50,3500
980,6,72,1200
693,29,58,1900
441,30,67,3300
706,1,58,2500
17,47,66,2000
14,13,72,3000
120,28,67,3300
417,14,51,1000
136,41,78,800
138,5,66,3300
605,36,57,3700
455,19,79,1600
343,45,50,600
772,44,60,300
287,12,54,2000
985,33,73,1800
609,28,69,3900
253,51,54,1900
385,34,51,3900
841,3,68,1100
882,2,63,3200
371,19,61,2700
692,36,62,700
195,29,74,100
466,6,63,2400
999,46,60,2500
828,41,78,1100
549,18,61,300
321,3,77,500
528,41,50,600
66,48,54,2600
206,46,57,1700
404,48,67,800
124,37,73,3600
650,41,79,3200
112,28,73,2500
880,33,64,900
842,17,63,3300
125,43,62,2000
318,6,50,1900
986,21,53,1400
541,30,50,900
926,9,66,3900
137,49,53,2200
745,15,56,1800
747,19,73,3800
726,11,56,500
360,4,72,2600
202,16,67,1300
686,48,55,1800
875,40,63,3800
865,12,65,3500
802,30,53,3900
339,1,80,900
517,7,62,1400
219,35,51,2600
443,23,74,3100
579,19,50,1800
958,18,67,4000
167,42,74,3400
841,15,73,2000
26,26,74,2800
404,8,69,3000
113,33,66,1100
929,26,73,2200
98,24,55,2300
94,50,75,1000
14,11,77,3800
40,51,64,1400
676,24,63,2500
988,42,50,2400
63,10,55,200
350,10,54,2500
930,4,54,1300
685,6,74,3600
294,34,52,1000
19,37,80,0
793,13,64,2700
313,9,54,1600
515,4,76,3300
512,32,65,3100
738,34,58,800
809,39,60,2400
101,27,69,2600
146,33,70,2200
498,10,61,100
892,34,61,2000
495,11,69,600
636,33,64,200
894,11,64,100
321,13,65,800
882,21,79,700
697,7,61,3400
256,52,50,300
92,21,78,1800
224,22,65,1900
147,31,73,3300
191,24,53,3500
483,15,57,3700
712,51,53,1600
630,51,78,600
670,15,51,3800
813,25,76,700
537,30,64,3800
354,50,72,3700
370,45,50,400
313,42,55,1800
949,31,78,300
281,20,57,300
657,5,69,2100
585,25,74,3600
789,17,72,1600
723,21,65,3400
143,50,53,2500
603,30,73,2100
199,6,59,400
569,25,58,1500
820,15,52,3200
724,21,63,3700
502,49,72,400
245,16,56,1500
69,2,75,3600
248,12,58,1400
102,50,55,1800
373,1,65,3200
513,16,65,1200
576,2,77,100
708,1,69,3000
606,52,53,3700
798,23,57,3200
531,17,53,2300
496,41,77,3000
314,29,62,200
863,13,66,900
602,1,67,3600
759,39,74,800
517,48,60,1900
315,17,58,700
846,27,51,2300
270,14,57,200
911,6,77,3100
935,51,61,2200
485,4,65,200
907,48,62,700
921,28,58,1000
12,10,60,200
889,3,58,300
748,27,61,3900
234,22,58,1200
773,6,66,3400
838,34,64,2700
726,34,68,3900
438,28,60,100
195,26,80,1600
81,14,55,3900
897,30,63,200
374,2,61,1000
253,37,76,1500
467,38,51,2300
246,25,71,2400
128,29,75,2100
959,31,67,2000
173,22,67,2200
681,5,68,0
290,41,57,1400
125,24,52,2300
275,48,53,2700
649,51,54,4000
200,9,60,1700
460,8,76,2600
978,9,77,2100
869,47,56,4000
631,4,55,1600
348,7,72,2600
528,22,76,3300
845,52,73,2200
772,35,65,2100
621,5,53,0
170,39,62,3600
841,34,61,1300
941,6,69,2500
163,9,78,1700
964,51,59,2000
213,24,78,300
437,44,53,2700
288,34,67,3400
893,11,56,1100
571,17,74,600
25,5,72,500
891,44,65,1100
346,16,55,2700
539,23,63,1800
665,14,56,2900
493,15,73,1700
998,37,78,2500
180,2,80,2000
897,7,79,1900
770,6,78,500
535,35,76,2200
692,35,56,2300
540,39,52,900
963,34,74,600
768,12,55,1000
823,24,77,3400
925,23,65,3100
767,28,80,400
189,49,51,3500
502,29,61,1400
84,46,72,3500
224,50,64,1700
442,24,76,3000
420,15,70,3400
462,20,70,100
232,3,53,2400
171,35,54,1000
401,34,76,2300
404,19,60,3300
800,25,74,3200
575,24,68,1500
551,7,62,2700
